aburrinhar	v. i. | prov. | dem.
abusamento	m. | Prov. alent.
abusão	f. | lat.
abusar	v. i.
abusivamente	adv.
abusivo	adj. | lat.
abuso	m.
abuta	f. | Ant.
abutilão	m.
abutilo	m.
abutiloide	f. | fam.
abutre	m. | ﬁg. | lat.
abutre-fusco	m. | Cf. | p. | Zool.
abutreiro	m.
abútua	f.
abutumado	adj. | Cf.
abuzinado	adj.
abuzinar	v. i.
abysmo	m. | der. | V.
abyssal	Adj. | as.
abyssínio	m.
abysso	m. | gr.
acá	m.
aca	m. | Bras.
aca	f. | t. | port.
acabaçar	v. t.
acabadamente	adv.
acabadiço	adj. | Cf.
acabado	adj. | fam. | m.
acabador	m.
acabadote	adj.
acabamento	m.
acabanado	adj. | prov.
acabar	v. t. | v. i. | loc. conj. | Cf. | ed.
acabellar	v. i. | der. | V.
acaboclado	adj.
acabramar	v. t. | des. | Cp.
acabramo	m.
acabrunhadamente	adv.
acabrunhado	adj.
acabrunhar	v. t. | V. | p. | t.
acacá	m. | Bras.
açacal	m. | Ant. | ár.
açacaladamente	adv.
açacalador	m.
açacaladura	f.
açacalar	v. | t. | ﬁg.
acaçapadamente	adv.
acaçapado	adj.
acaçapar	v. t.
acachafundar	v. t. | pop.
acachapar	v. t.
acachar	v. t. | V.
acachoar	v. t. | v. i.
acachuchar	v. | t. | Prov. trasm.
acácia	f. | fam. | lat.
acácia-bastarda	f.
acácia-dos-alemães	f.
acacifar	v. t.
açacu	m.
acadar	m. | t. | port.
acadar	v. t. | t. | contr.
acadeirar-se	v. p.
acadêmia	f. | Cp.
academial	adj. | V.
academialmente	adj. | V.
academiar	v. i.
academicamente	adv.
acadêmico	adj. | m. | lat.
academista	m.
acadianos	m. pl.
acadimar-se	v. | p. | prov.
acadrimar-se	v. p.
acaecente	adj. | Ant.
acaecer	v. i. | Ant. | Cp. | lat.
acaecimento	m.
açafaitar	v. | t.
acafanhar	v. t. | Prov. minh.
açafata	f.
açafatar	v. t.
açafate	m. | ár.
açafate-de-oiro	m. | Bras.
acafelador	m.
acafeladura	f.
acafelamento	m.
acafelar	v. t. | cast.
acafetar	v. t. | Cp.
açaflôr	m.
açafões	m. pl.
açafrão	m. | fam. | ár.
açafrar	v. | Ant. | Cp.
açafrôa	f.
açafroado	adj.
açafroador	m.
açafroal	m.
açafroamento	m.
açafroar	v. | t.
açafroeira	f.
açafrôl	m. | Prov. alg.
açagador	m. | Ant. | Cf. | Cp.
açahi	m.
açahizeiro	m.
açaí	m.
acaia	f. | Bras.
acaico	adj. | lat.
açaimar	v. | t. | ﬁg.
açaime	m. | V.
açaimo	m. | der. | V.
acaina	f. | gr.
acaio	adj. | lat.
acaipirar-se	v. p. | Bras.
acairelador	m.
acairelamento	m.
acairelar	v. t.
acais-a-cajo	loc. adv. | Ant. | corr.
açaizeiro	m.
acajá	m.
acajadar	v. t.
acaju	m. | V.
acajuadiço	adj. | Prov. alg.
acajueiro	m. | V.
acalacas	m.
acalantho	m. | gr.
acalanto	m. | gr.
acalar	v. | prov. | Cp.
acalcanhado	adj. | ﬁg.
acalcanhamento	m.
acalcanhar	v. t. | v. i. | as.
acalcar	v. t.
acalefologia	f.
acalefos	m. pl. | Zool. | gr.
acalentador	adj. | Cf.
acalentar	v. t. | ﬁg. | lat.
acalento	m.
acalephologia	f.
acalephos	m. pl. | Zool. | gr.
acalicino	adj. | Bot.
acalifa	f. | gr.
acalipto	m. | gr.
acalmação	f.
acalmamento	m.
açalmar	v. t. | Ant. | Cf.
acalmia	f. | Med. | Cf.
acalmópteros	m. pl. | qual.
açaloiado	adj.
acalorar	v. t.
açalpão	m. | Bras. | metáth.
acalypha	f. | gr.
acalypto	m. | gr.
acamacu	m.
açamado	adj. | ﬁg.
açamar	v. | t. | ﬁg.
acamaradar-se	v. t.
açamarrado	adj.
açamarrar-se	v. p.
açambarcadeira	f. | Prov. minh.
açambarcador	m. e adj.
açambarcagem	f.
açambarcamento	m.
açambarcar	v. t.
acamboar	v. t.
acambolhado	adj.
açame	m.
açamo	m.
acamonia	f. | Bras.
açamoucado	m.
acampainhar	v. t.
acampamento	m.
acampar	v. | t. | v. i. | p.
acampsia	f. | Med.
acampto	m. | Phýs. | gr.
acamptosomos	m. pl. | Zool. | gr.
acamurçado	adj.
acamurçar	v. t.
açan	m. | Prov. trasm.
acanadas	f. pl. | Bot.
acanalado	adj.
acanalador	adj.
acanaladura	f.
acanalar	v. t.
acanalhado	adj.
acanalhar	v. t. | V. | p. | Cf.
acanaveado	adj. | ﬁg.
acanaveadura	f.
acanavear	v. t. | as. | fam.
açancalhar	v. t. | Prov. beir. | mal. | v. i. | t.
açancanhar	v. t. | Prov. trasm. | v. i.
acanelado	adj.
acaneladura	f. | V.
acanelar	v. t.
acanga	f.
açanganhar	v. t.
acanhadamente	adv.
acanhado	adj. | ﬁg.
acanhador	m. e adj.
acanhamento	m.
acanhar	v. t. | ﬁg.
acanho	m. | Cf.
acanhoar	v. t.
acanhonear	v. t.
acanhotado	adj. | Gír. | Prov. minh.
acanonicamente	adv.
acanónico	adj.
acanonista	m.
acantábalo	m. | gr.
acantáceas	f. pl.
acanteirado	adj.
acanteirar	v. t.
acanthábalo	m. | gr.
acantháceas	f. pl.
acanthia	f. | gr.
acanthião	m. | gr.
